Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,123795,-,-,-,37.89,-122.3,-8,27,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2009,1,1,0,0,0,0,0,7,8,164.83,0.10300000000000001,1.3,100,8,1020,N/A
2009,1,1,0,30,0,0,0,1,7,164.63,0.10300000000000001,1.4000000000000001,100,8,1020,N/A
2009,1,1,1,0,0,0,0,1,7,161.98,0.10300000000000001,1.5,100,8,1020,N/A
2009,1,1,1,30,0,0,0,1,7,157.74,0.10300000000000001,1.5,100,8,1020,N/A
2009,1,1,2,0,0,0,0,3,7,152.65,0.10300000000000001,1.6,100,8,1020,N/A
2009,1,1,2,30,0,0,0,3,7,147.14000000000001,0.10300000000000001,1.5,100,7,1020,N/A
2009,1,1,3,0,0,0,0,3,7,141.39000000000001,0.10300000000000001,1.5,100,7,1020,N/A
2009,1,1,3,30,0,0,0,1,6,135.53,0.10300000000000001,1.4000000000000001,100,7,1020,N/A
2009,1,1,4,0,0,0,0,0,6,129.61,0.10300000000000001,1.4000000000000001,100,7,1020,N/A
2009,1,1,4,30,0,0,0,1,6,123.7,0.10300000000000001,1.3,100,7,1020,N/A
2009,1,1,5,0,0,0,0,1,6,117.82000000000001,0.10300000000000001,1.3,100,7,1020,N/A
2009,1,1,5,30,0,0,0,3,6,112.01,0.10300000000000001,1.3,100,7,1020,N/A
2009,1,1,6,0,0,0,0,3,6,106.28,0.10300000000000001,1.3,100,7,1020,N/A
2009,1,1,6,30,0,0,0,3,6,100.68,0.10300000000000001,1.2000000000000002,100,6,1020,N/A
2009,1,1,7,0,0,0,0,3,6,95.23,0.10300000000000001,1.1,100,6,1020,N/A
2009,1,1,7,30,0,0,0,3,6,89.97,0.10300000000000001,1,100,6,1020,N/A
2009,1,1,8,0,30,296,56,1,6,84.96000000000001,0.10300000000000001,0.9,100,7,1020,N/A
2009,1,1,8,30,13,0,13,3,6,80.23,0.10300000000000001,0.9,100,7,1020,N/A
2009,1,1,9,0,58,610,208,0,6,75.84,0.10300000000000001,0.9,100,7,1020,N/A
2009,1,1,9,30,72,0,72,3,6,71.86,0.10300000000000001,1,100,7,1020,N/A
2009,1,1,10,0,143,30,154,3,6,68.38,0.10300000000000001,1.2000000000000002,95.57000000000001,8,1020,N/A
2009,1,1,10,30,165,34,179,3,6,65.46000000000001,0.10300000000000001,1.2000000000000002,89.24,8,1020,N/A
2009,1,1,11,0,147,0,147,3,6,63.2,0.10300000000000001,1.3,84.08,9,1020,N/A
2009,1,1,11,30,172,11,177,3,6,61.660000000000004,0.10300000000000001,1.3,84.04,10,1020,N/A
2009,1,1,12,0,145,0,145,3,6,60.9,0.10300000000000001,1.3,77.57000000000001,11,1020,N/A
2009,1,1,12,30,189,25,201,3,6,60.95,0.10300000000000001,1.3,77.53,11,1020,N/A
2009,1,1,13,0,192,323,345,2,6,61.81,0.10300000000000001,1.3,71.86,11,1020,N/A
2009,1,1,13,30,177,334,327,2,6,63.45,0.10300000000000001,1.1,71.84,11,1010,N/A
2009,1,1,14,0,163,305,288,2,6,65.8,0.10300000000000001,0.9,72.17,12,1010,N/A
2009,1,1,14,30,60,767,338,1,6,68.79,0.10300000000000001,0.7000000000000001,72.15,11,1010,N/A
2009,1,1,15,0,54,719,273,3,6,72.34,0.10300000000000001,0.5,73.01,11,1010,N/A
2009,1,1,15,30,48,645,200,1,6,76.37,0.10300000000000001,0.4,78.02,10,1010,N/A
2009,1,1,16,0,39,515,121,0,6,80.81,0.10300000000000001,0.30000000000000004,78.8,10,1010,N/A
2009,1,1,16,30,24,326,49,0,6,85.58,0.10300000000000001,0.5,84.24,9,1010,N/A
2009,1,1,17,0,0,0,0,3,6,90.63,0.10300000000000001,0.8,87.31,9,1010,N/A
2009,1,1,17,30,0,0,0,3,6,95.92,0.10300000000000001,1,93.46000000000001,8,1010,N/A
2009,1,1,18,0,0,0,0,3,6,101.38,0.10300000000000001,1.2000000000000002,95.41,8,1010,N/A
2009,1,1,18,30,0,0,0,1,6,107,0.10300000000000001,1.2000000000000002,95.4,7,1010,N/A
2009,1,1,19,0,0,0,0,0,6,112.74000000000001,0.10300000000000001,1.4000000000000001,97.46000000000001,7,1010,N/A
2009,1,1,19,30,0,0,0,3,6,118.56,0.10300000000000001,1.4000000000000001,100,7,1010,N/A
2009,1,1,20,0,0,0,0,3,6,124.45,0.10300000000000001,1.5,100,7,1010,N/A
2009,1,1,20,30,0,0,0,1,6,130.36,0.10300000000000001,1.5,100,7,1010,N/A
2009,1,1,21,0,0,0,0,1,6,136.27,0.10300000000000001,1.5,100,7,1010,N/A
2009,1,1,21,30,0,0,0,1,6,142.11,0.10300000000000001,1.4000000000000001,100,7,1010,N/A
2009,1,1,22,0,0,0,0,1,6,147.84,0.10300000000000001,1.3,100,7,1010,N/A
2009,1,1,22,30,0,0,0,1,6,153.3,0.10300000000000001,1.3,100,7,1010,N/A
2009,1,1,23,0,0,0,0,1,6,158.3,0.10300000000000001,1.3,100,7,1010,N/A
2009,1,1,23,30,0,0,0,1,6,162.37,0.10300000000000001,1.3,100,7,1010,N/A
2009,1,2,0,0,0,0,0,1,7,164.73,0.10300000000000001,1.3,100,7,1010,N/A
2009,1,2,0,30,0,0,0,3,7,164.57,0.10300000000000001,1.4000000000000001,100,7,1010,N/A
2009,1,2,1,0,0,0,0,4,7,161.96,0.10300000000000001,1.6,100,7,1010,N/A
2009,1,2,1,30,0,0,0,4,7,157.75,0.10300000000000001,1.7000000000000002,100,7,1010,N/A
2009,1,2,2,0,0,0,0,1,7,152.68,0.10300000000000001,1.8,100,7,1010,N/A
2009,1,2,2,30,0,0,0,1,7,147.17000000000002,0.10300000000000001,1.9000000000000001,100,7,1010,N/A
2009,1,2,3,0,0,0,0,4,7,141.43,0.10300000000000001,2.1,100,8,1010,N/A
2009,1,2,3,30,0,0,0,4,7,135.57,0.10300000000000001,2.2,100,8,1010,N/A
2009,1,2,4,0,0,0,0,1,8,129.66,0.10300000000000001,2.3000000000000003,100,9,1010,N/A
2009,1,2,4,30,0,0,0,1,8,123.75,0.10300000000000001,2.2,100,9,1010,N/A
2009,1,2,5,0,0,0,0,4,9,117.87,0.10300000000000001,2.2,100,9,1010,N/A
2009,1,2,5,30,0,0,0,3,9,112.05,0.10300000000000001,2.2,100,9,1010,N/A
2009,1,2,6,0,0,0,0,1,9,106.32000000000001,0.10300000000000001,2.3000000000000003,100,9,1010,N/A
2009,1,2,6,30,0,0,0,1,9,100.71000000000001,0.10300000000000001,2.4000000000000004,100,9,1010,N/A
2009,1,2,7,0,0,0,0,0,9,95.26,0.10300000000000001,2.5,100,10,1010,N/A
2009,1,2,7,30,0,0,0,4,9,89.99,0.10300000000000001,2.6,100,10,1010,N/A
2009,1,2,8,0,16,0,16,4,9,84.97,0.10300000000000001,2.8000000000000003,100,11,1010,N/A
2009,1,2,8,30,38,0,38,4,9,80.23,0.10300000000000001,2.9000000000000004,100,11,1010,N/A
2009,1,2,9,0,13,0,13,4,11,75.83,0.10300000000000001,3.1,100,12,1010,N/A
2009,1,2,9,30,59,0,59,4,11,71.85000000000001,0.10300000000000001,3.1,100,12,1010,N/A
2009,1,2,10,0,121,0,121,7,11,68.35000000000001,0.10300000000000001,3.2,100,12,1010,N/A
2009,1,2,10,30,140,0,140,8,11,65.42,0.10300000000000001,3.3000000000000003,100,12,1010,N/A
2009,1,2,11,0,59,0,59,4,10,63.14,0.10300000000000001,3.4000000000000004,95.55,12,1010,N/A
2009,1,2,11,30,79,0,79,7,10,61.58,0.10300000000000001,3.8000000000000003,95.53,12,1010,N/A
2009,1,2,12,0,99,784,482,1,9,60.81,0.10300000000000001,4.2,90.24,12,1010,N/A
2009,1,2,12,30,79,0,79,7,9,60.85,0.10300000000000001,4.4,90.23,12,1010,N/A
2009,1,2,13,0,180,20,190,7,8,61.7,0.10300000000000001,4.7,77.69,12,1010,N/A
2009,1,2,13,30,180,35,196,4,8,63.33,0.10300000000000001,4.7,77.69,12,1010,N/A
2009,1,2,14,0,165,34,179,8,7,65.67,0.10300000000000001,4.800000000000001,71.60000000000001,12,1010,N/A
2009,1,2,14,30,121,467,292,7,7,68.66,0.10300000000000001,4.6000000000000005,76.5,12,1010,N/A
2009,1,2,15,0,89,488,238,8,6,72.21000000000001,0.10300000000000001,4.6000000000000005,72.9,12,1010,N/A
2009,1,2,15,30,56,645,210,0,6,76.24,0.10300000000000001,4.1000000000000005,77.92,11,1010,N/A
2009,1,2,16,0,44,533,131,0,6,80.67,0.10300000000000001,3.8000000000000003,82.3,10,1010,N/A
2009,1,2,16,30,28,328,54,1,6,85.44,0.10300000000000001,3.6,88.07000000000001,9,1010,N/A
2009,1,2,17,0,0,0,0,0,5,90.49,0.10300000000000001,3.4000000000000004,91.8,8,1010,N/A
2009,1,2,17,30,0,0,0,0,5,95.77,0.10300000000000001,3.3000000000000003,98.34,7,1010,N/A
2009,1,2,18,0,0,0,0,0,5,101.24000000000001,0.10300000000000001,3.3000000000000003,96.63,7,1010,N/A
2009,1,2,18,30,0,0,0,1,5,106.86,0.10300000000000001,3.2,96.65,6,1010,N/A
2009,1,2,19,0,0,0,0,1,5,112.60000000000001,0.10300000000000001,3.2,95.89,6,1010,N/A
2009,1,2,19,30,0,0,0,0,4,118.42,0.10300000000000001,3.1,100,6,1010,N/A
2009,1,2,20,0,0,0,0,1,4,124.31,0.10300000000000001,3,100,6,1010,N/A
2009,1,2,20,30,0,0,0,0,4,130.22,0.10300000000000001,2.9000000000000004,100,5,1010,N/A
2009,1,2,21,0,0,0,0,0,4,136.13,0.10300000000000001,2.9000000000000004,100,5,1010,N/A
2009,1,2,21,30,0,0,0,1,4,141.97,0.10300000000000001,2.8000000000000003,100,5,1010,N/A
2009,1,2,22,0,0,0,0,1,4,147.69,0.10300000000000001,2.7,100,5,1010,N/A
2009,1,2,22,30,0,0,0,3,4,153.16,0.10300000000000001,2.6,100,5,1010,N/A
2009,1,2,23,0,0,0,0,0,4,158.15,0.10300000000000001,2.5,100,5,1010,N/A
2009,1,2,23,30,0,0,0,0,4,162.23,0.10300000000000001,2.3000000000000003,100,4,1010,N/A
2009,1,3,0,0,0,0,0,0,4,164.62,0.10300000000000001,2.2,100,4,1010,N/A
2009,1,3,0,30,0,0,0,1,2,164.5,0.10300000000000001,2.1,100,4,1010,N/A
2009,1,3,1,0,0,0,0,0,2,161.93,0.10300000000000001,2.1,100,4,1010,N/A
2009,1,3,1,30,0,0,0,0,2,157.75,0.10300000000000001,2.1,100,3,1010,N/A
2009,1,3,2,0,0,0,0,0,2,152.70000000000002,0.10300000000000001,2.2,100,3,1010,N/A
2009,1,3,2,30,0,0,0,0,2,147.20000000000002,0.10300000000000001,2.2,100,3,1010,N/A
2009,1,3,3,0,0,0,0,1,2,141.47,0.10300000000000001,2.3000000000000003,100,3,1010,N/A
2009,1,3,3,30,0,0,0,1,2,135.61,0.10300000000000001,2.3000000000000003,100,2,1010,N/A
2009,1,3,4,0,0,0,0,1,1,129.7,0.10300000000000001,2.4000000000000004,94.88,2,1010,N/A
2009,1,3,4,30,0,0,0,1,1,123.79,0.10300000000000001,2.4000000000000004,100,2,1010,N/A
2009,1,3,5,0,0,0,0,1,0,117.9,0.10300000000000001,2.5,97.65,2,1010,N/A
2009,1,3,5,30,0,0,0,1,0,112.08,0.10300000000000001,2.5,97.66,2,1010,N/A
2009,1,3,6,0,0,0,0,1,0,106.35000000000001,0.10300000000000001,2.6,95.54,2,1010,N/A
2009,1,3,6,30,0,0,0,0,0,100.74000000000001,0.10300000000000001,2.7,95.56,2,1010,N/A
2009,1,3,7,0,0,0,0,0,0,95.28,0.10300000000000001,2.8000000000000003,94.8,2,1010,N/A
2009,1,3,7,30,0,0,0,0,0,90.01,0.10300000000000001,2.9000000000000004,88.27,3,1010,N/A
2009,1,3,8,0,25,482,67,0,0,84.98,0.10300000000000001,3.1,83.87,4,1010,N/A
2009,1,3,8,30,38,661,150,1,0,80.23,0.10300000000000001,3.4000000000000004,78.17,5,1010,N/A
2009,1,3,9,0,88,277,156,3,0,75.82000000000001,0.10300000000000001,3.8000000000000003,70.48,6,1010,N/A
2009,1,3,9,30,109,355,220,3,0,71.82000000000001,0.10300000000000001,3.9000000000000004,65.77,7,1010,N/A
2009,1,3,10,0,63,859,380,1,0,68.31,0.10300000000000001,4.1000000000000005,57.03,8,1010,N/A
2009,1,3,10,30,117,570,355,3,0,65.37,0.10300000000000001,4.1000000000000005,53.25,8,1010,N/A
2009,1,3,11,0,112,641,402,3,-2,63.07,0.10300000000000001,4.1000000000000005,45.53,9,1010,N/A
2009,1,3,11,30,100,715,441,7,-2,61.5,0.10300000000000001,4,45.51,9,1010,N/A
2009,1,3,12,0,170,473,402,4,-3,60.72,0.10300000000000001,3.9000000000000004,39.45,10,1010,N/A
2009,1,3,12,30,125,639,437,7,-3,60.74,0.10300000000000001,3.8000000000000003,39.43,10,1010,N/A
